roi,weight,To,From
ME(R),373,aMe12,R8p
AME(R),66,aMe12,aMe4
ME(R),38,aMe12,aMe4
NotPrimary,13,aMe12,aMe4
AME(R),50,aMe4,aMe12
ME(R),56,aMe4,aMe12
NotPrimary,21,aMe4,aMe12
AME(R),67,Lawf1,aMe4
ME(R),5693,Lawf1,aMe4
NotPrimary,81,Lawf1,aMe4
ME(R),206,Lawf1,l-LNv
NotPrimary,5,Lawf1,l-LNv
LA(R),2295,L3,Lawf1
ME(R),815,L3,Lawf1
NotPrimary,82,L3,Lawf1
ME(R),1415,Mi1,l-LNv
NotPrimary,4,Mi1,l-LNv
ME(R),8445,C3,Mi1
NotPrimary,18,C3,Mi1
LO(R),1,C2,Mi1
ME(R),24264,C2,Mi1
NotPrimary,60,C2,Mi1
AME(R),5,C3,L1
LA(R),17,C3,L1
ME(R),50052,C3,L1
NotPrimary,508,C3,L1
AME(R),1,C2,L1
LA(R),8,C2,L1
ME(R),28113,C2,L1
NotPrimary,505,C2,L1
LA(R),194,L1,C2
ME(R),19329,L1,C2
NotPrimary,5953,L1,C2
LA(R),583,L1,C3
ME(R),879,L1,C3
NotPrimary,74,L1,C3
